iter	Passed	Remaining
500	8169	8136
501	8184	8118
502	8199	8101
503	8219	8088
504	8236	8073
505	8253	8057
506	8269	8040
507	8285	8024
508	8302	8008
509	8319	7993
510	8335	7976
511	8351	7959
512	8365	7941
513	8380	7924
514	8396	7907
515	8411	7890
516	8428	7874
517	8445	7858
518	8462	7842
519	8477	7825
520	8494	7809
521	8510	7792
522	8526	7776
523	8541	7758
524	8555	7740
525	8570	7723
526	8585	7705
527	8600	7688
528	8615	7670
529	8630	7653
530	8650	7640
531	8666	7623
532	8682	7607
533	8698	7591
534	8714	7574
535	8731	7558
536	8746	7541
537	8761	7523
538	8776	7506
539	8791	7488
540	8805	7471
541	8820	7453
542	8838	7438
543	8856	7423
544	8873	7408
545	8889	7391
546	8906	7375
547	8923	7359
548	8939	7343
549	8954	7326
550	8969	7309
551	8984	7291
552	8999	7274
553	9014	7256
554	9028	7239
555	9045	7223
556	9061	7206
557	9078	7190
558	9094	7174
559	9110	7158
560	9126	7141
561	9142	7125
562	9157	7108
563	9172	7090
564	9187	7073
565	9203	7057
566	9218	7040
567	9233	7022
568	9249	7005
569	9268	6991
570	9284	6975
571	9302	6960
572	9318	6944
573	9335	6928
574	9351	6911
575	9366	6894
576	9381	6877
577	9396	6860
578	9411	6842
579	9426	6825
580	9441	6808
581	9457	6792
582	9473	6776
583	9489	6759
584	9506	6743
585	9522	6727
586	9538	6711
587	9555	6695
588	9570	6678
589	9585	6660
590	9599	6643
591	9614	6626
592	9629	6608
593	9644	6591
594	9659	6574
595	9676	6559
596	9692	6542
597	9710	6527
598	9729	6513
599	9745	6497
600	9761	6480
601	9776	6463
602	9791	6446
603	9806	6429
604	9821	6412
605	9836	6395
606	9851	6378
607	9867	6362
608	9883	6345
609	9900	6329
610	9916	6313
611	9932	6297
612	9950	6282
613	9966	6265
614	9982	6248
615	9997	6232
616	10012	6215
617	10026	6197
618	10041	6180
619	10056	6163
620	10072	6147
621	10088	6130
622	10104	6114
623	10120	6098
624	10138	6083
625	10158	6068
626	10177	6054
627	10193	6038
628	10208	6021
629	10225	6005
630	10240	5988
631	10255	5971
632	10271	5955
633	10289	5939
634	10305	5923
635	10321	5907
636	10337	5891
637	10354	5875
638	10371	5859
639	10387	5843
640	10403	5826
641	10418	5809
642	10433	5792
643	10449	5776
644	10463	5759
645	10480	5743
646	10496	5726
647	10512	5710
648	10530	5695
649	10548	5680
650	10567	5665
651	10585	5649
652	10602	5634
653	10619	5618
654	10636	5602
655	10654	5587
656	10673	5572
657	10695	5558
658	10715	5544
659	10733	5529
660	10751	5514
661	10769	5498
662	10788	5483
663	10805	5467
664	10822	5451
665	10838	5435
666	10855	5419
667	10874	5404
668	10891	5388
669	10909	5373
670	10926	5357
671	10944	5341
672	10964	5327
673	10983	5312
674	11000	5296
675	11019	5281
676	11040	5267
677	11056	5250
678	11074	5235
679	11092	5219
680	11112	5205
681	11135	5192
682	11156	5178
683	11177	5163
684	11198	5149
685	11220	5135
686	11240	5121
687	11261	5106
688	11281	5092
689	11304	5078
690	11328	5065
691	11346	5050
692	11366	5035
693	11385	5019
694	11404	5004
695	11425	4990
696	11444	4975
697	11461	4958
698	11478	4942
699	11496	4926
700	11514	4911
701	11534	4896
702	11555	4881
703	11573	4866
704	11589	4849
705	11605	4833
706	11621	4816
707	11637	4799
708	11652	4782
709	11667	4765
710	11682	4748
711	11697	4731
712	11712	4714
713	11730	4698
714	11747	4682
715	11763	4665
716	11780	4649
717	11796	4633
718	11813	4616
719	11828	4600
720	11843	4583
721	11859	4566
722	11874	4549
723	11889	4532
724	11904	4515
725	11920	4498
726	11936	4482
727	11953	4465
728	11969	4449
729	11985	4433
730	12003	4417
731	12020	4401
732	12036	4384
733	12052	4367
734	12069	4351
735	12086	4335
736	12103	4319
737	12118	4302
738	12137	4286
739	12156	4271
740	12177	4256
741	12198	4241
742	12217	4226
743	12238	4210
744	12255	4194
745	12270	4178
746	12286	4161
747	12304	4145
748	12320	4128
749	12345	4115
750	12365	4099
751	12385	4084
752	12403	4068
753	12422	4052
754	12440	4036
755	12455	4020
756	12471	4003
757	12486	3986
758	12500	3969
759	12515	3952
760	12530	3935
761	12546	3918
762	12562	3902
763	12579	3885
764	12595	3869
765	12612	3853
766	12629	3836
767	12645	3820
768	12661	3803
769	12676	3786
770	12691	3769
771	12706	3752
772	12721	3735
773	12736	3718
774	12752	3702
775	12767	3685
776	12784	3669
777	12800	3652
778	12816	3636
779	12833	3619
780	12849	3603
781	12865	3586
782	12883	3570
783	12900	3554
784	12916	3537
785	12933	3521
786	12950	3505
787	12969	3489
788	12988	3473
789	13008	3457
790	13027	3442
791	13046	3426
792	13069	3411
793	13092	3396
794	13115	3382
795	13131	3365
796	13150	3349
797	13169	3333
798	13186	3317
799	13205	3301
800	13229	3286
801	13247	3270
802	13264	3254
803	13281	3237
804	13297	3221
805	13314	3204
806	13331	3188
807	13347	3171
808	13367	3155
809	13384	3139
810	13401	3123
811	13418	3106
812	13436	3090
813	13453	3074
814	13470	3057
815	13487	3041
816	13505	3024
817	13522	3008
818	13538	2992
819	13557	2976
820	13580	2960
821	13599	2944
822	13618	2928
823	13637	2912
824	13656	2896
825	13673	2880
826	13691	2864
827	13708	2847
828	13725	2831
829	13742	2814
830	13758	2798
831	13778	2782
832	13798	2766
833	13821	2751
834	13840	2734
835	13857	2718
836	13874	2702
837	13890	2685
838	13905	2668
839	13920	2651
840	13935	2634
841	13951	2617
842	13969	2601
843	13986	2585
844	14003	2568
845	14022	2552
846	14039	2536
847	14055	2519
848	14072	2502
849	14087	2486
850	14103	2469
851	14118	2452
852	14133	2435
853	14148	2418
854	14163	2402
855	14180	2385
856	14199	2369
857	14217	2353
858	14237	2336
859	14253	2320
860	14270	2303
861	14286	2287
862	14301	2270
863	14316	2253
864	14332	2236
865	14347	2220
866	14362	2203
867	14377	2186
868	14394	2169
869	14411	2153
870	14427	2136
871	14445	2120
872	14462	2103
873	14479	2087
874	14495	2070
875	14510	2054
876	14526	2037
877	14541	2020
878	14557	2003
879	14572	1987
880	14590	1970
881	14607	1954
882	14623	1937
883	14641	1921
884	14658	1904
885	14675	1888
886	14691	1871
887	14706	1854
888	14721	1838
889	14736	1821
890	14751	1804
891	14766	1787
892	14782	1771
893	14800	1754
894	14816	1738
895	14833	1721
896	14860	1706
897	14878	1690
898	14894	1673
899	14910	1656
900	14925	1639
901	14940	1623
902	14955	1606
903	14970	1589
904	14985	1573
905	15001	1556
906	15018	1539
907	15034	1523
908	15051	1506
909	15078	1491
910	15097	1474
911	15114	1458
912	15131	1441
913	15146	1425
914	15163	1408
915	15178	1391
916	15193	1375
917	15210	1358
918	15228	1342
919	15244	1325
920	15261	1309
921	15278	1292
922	15296	1276
923	15312	1259
924	15328	1242
925	15343	1226
926	15358	1209
927	15373	1192
928	15389	1176
929	15404	1159
930	15421	1142
931	15437	1126
932	15454	1109
933	15470	1093
934	15487	1076
935	15505	1060
936	15522	1043
937	15538	1027
938	15553	1010
939	15568	993
940	15583	977
941	15598	960
942	15614	943
943	15631	927
944	15649	910
945	15665	894
946	15682	877
947	15699	861
948	15717	844
949	15733	828
950	15749	811
951	15764	794
952	15779	778
953	15794	761
954	15810	744
955	15825	728
956	15843	711
957	15859	695
958	15875	678
959	15893	662
960	15910	645
961	15928	629
962	15944	612
963	15960	596
964	15975	579
965	15990	562
966	16007	546
967	16025	529
968	16070	514
969	16092	497
970	16109	481
971	16126	464
972	16147	448
973	16165	431
974	16181	414
975	16195	398
976	16210	381
977	16225	364
978	16241	348
979	16257	331
980	16273	315
981	16290	298
982	16307	282
983	16325	265
984	16341	248
985	16358	232
986	16374	215
987	16390	199
988	16405	182
989	16420	165
990	16435	149
991	16451	132
992	16466	116
993	16483	99
994	16500	82
995	16517	66
996	16535	49
997	16552	33
998	16567	16
999	16585	0
